id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1.02468e+18,Sleek Back Bay Studio,365116307,Healing Homes,Back Bay,42.34384135,-71.08238686,Entire home/apt,191.0,1,14,6/3/2024,2.15,60,274,14,Exempt: This listing is a unit that has contracts with hospitals
1.02468e+18,Old Charm Back Bay Studio Apt,365116307,Healing Homes,South End,42.34177253,-71.08264023,Entire home/apt,161.0,1,13,5/29/2024,2.2,60,313,13,Exempt: This listing is a unit that has contracts with hospitals
1.0247e+18,Cozy Fenway 1BR Walk to MIT,382451810,Healing Homes,Back Bay,42.35012,-71.08983,Entire home/apt,223.0,1,24,6/7/2024,3.89,74,205,24,Exempt: This listing is a unit that has contracts with hospitals
1.02471e+18,Quiet Studio Circa South End,365116307,Healing Homes,South End,42.34157,-71.08288,Entire home/apt,293.0,1,15,5/23/2024,2.5,60,336,15,Exempt: This listing is a unit that has contracts with hospitals
1.02472e+18,Retro Studio on Quiet Street,365116307,Healing Homes,Back Bay,42.34333,-71.08438,Entire home/apt,173.0,1,4,5/19/2024,0.68,60,352,4,Exempt: This listing is a unit that has contracts with hospitals
1.02473e+18,Stunning 1BR | Steps to Fenway!,382451810,Healing Homes,Fenway,42.34875257,-71.09304196,Entire home/apt,203.0,1,22,5/30/2024,3.06,74,230,22,Exempt: This listing is a unit that has contracts with hospitals
1.02473e+18,Renovated One Bedroom in Back Bay,9410008,Jason,Back Bay,42.3497769,-71.089541,Entire home/apt,309.0,10,10,6/3/2024,1.56,19,197,10,STR-544863
1.02473e+18,Cozy Studio near Prudential Ctr,365116307,Healing Homes,Back Bay,42.34287739,-71.08209224,Entire home/apt,201.0,1,8,5/15/2024,2.45,60,339,8,Exempt: This listing is a unit that has contracts with hospitals
1.02474e+18,Quaint Studio Apartment Back Bay,365116307,Healing Homes,South End,42.34155,-71.08211,Entire home/apt,259.0,1,12,4/29/2024,1.71,60,287,12,Exempt: This listing is a unit that has contracts with hospitals
1.02475e+18,Elegant Prudential Area Studio,365116307,Healing Homes,Back Bay,42.34206755,-71.08366603,Entire home/apt,316.0,1,14,6/6/2024,1.98,60,301,14,Exempt: This listing is a unit that has contracts with hospitals
1.02475e+18,Great Location Queen Bed w/ Desk,130680380,Jodie,North End,42.36685,-71.05501,Private room,224.0,3,1,5/17/2024,0.81,28,345,1,STR-476426
1.02477e+18,Prudential Area Loft Retreat,365116307,Healing Homes,Fenway,42.34194771,-71.0843015,Entire home/apt,260.0,1,8,5/25/2024,1.28,60,296,8,Exempt: This listing is a unit that has contracts with hospitals
1.02477e+18,Cozy & Modern 1 Br | Kenmore Sq!,382451810,Healing Homes,Fenway,42.34753,-71.09471,Entire home/apt,161.0,1,25,6/7/2024,4.69,74,244,25,Exempt: This listing is a unit that has contracts with hospitals
1.02478e+18,Serene South End Studio,365116307,Healing Homes,Back Bay,42.34353957,-71.08375865,Entire home/apt,174.0,1,11,4/28/2024,1.63,60,355,11,Exempt: This listing is a unit that has contracts with hospitals
1.02478e+18,Studio Close to Longwood Medical,365116307,Healing Homes,Longwood Medical Area,42.34197,-71.10255,Entire home/apt,239.0,1,14,6/7/2024,2.41,60,223,14,Exempt: This listing is a unit that has contracts with hospitals
1.02479e+18,Tranquil South End Studio,365116307,Healing Homes,Back Bay,42.34442,-71.08269,Entire home/apt,148.0,1,11,6/6/2024,1.94,60,353,11,Exempt: This listing is a unit that has contracts with hospitals
1.02479e+18,Awesome Apt in the Heart of Back Bay!,423270067,Harry And Susie,Back Bay,42.34389,-71.08317,Entire home/apt,425.0,1,2,3/25/2024,0.4,28,346,2,Exempt: This listing is a hotel or motel
1.02491e+18,Bright & Spacious Fenway Studio,365116307,Healing Homes,Fenway,42.34388487,-71.10380212,Entire home/apt,212.0,1,28,5/24/2024,4.1,60,117,28,Exempt: This listing is a unit that has contracts with hospitals
1.02496e+18,D_BOSTON_Triple Bed  5 min Fields Corner Station,351582312,Daniel,Dorchester,42.30309,-71.0657,Private room,106.0,1,8,4/30/2024,1.1,11,141,8,STR-545039
1.02497e+18,H_BOSTON_Triple Bed  5 min Fields Corner Station,351582312,Daniel,Dorchester,42.30362,-71.066,Private room,106.0,1,15,5/1/2024,2.14,11,174,15,STR-545056
1.02497e+18,G_BOSTON_Small Double 5 min Fields Corner Station,351582312,Daniel,Dorchester,42.30131,-71.0647,Private room,106.0,1,12,5/8/2024,1.72,11,128,12,STR-545056
1.02497e+18,F_BOSTON_Triple Bed  5 min Fields Corner Station,351582312,Daniel,Dorchester,42.30322,-71.06434,Private room,106.0,1,7,5/31/2024,1.01,11,169,7,STR-545056
1.02497e+18,E_BOSTON_Small Double 5 min Fields Corner Station,351582312,Daniel,Dorchester,42.3015025,-71.06572356,Private room,106.0,1,18,6/6/2024,2.52,11,152,18,STR-545039
1.02501e+18,Downtown on Boston Common.1,757253,Lee,Downtown,42.35122515,-71.06298213,Entire home/apt,170.0,1,38,6/5/2024,5.64,7,352,38,Exempt: This listing is a unit used for furnished institutional or business stays
1.02526e+18,Studio Apt Steps to Hospitals,365116307,Healing Homes,Fenway,42.34709,-71.10403,Entire home/apt,229.0,1,31,6/5/2024,5.92,60,103,31,Exempt: This listing is a unit that has contracts with hospitals
1.02528e+18,Charming Theater District 1Br,365116307,Healing Homes,Downtown,42.35055,-71.06672,Entire home/apt,322.0,1,18,6/2/2024,3.16,60,322,18,Exempt: This listing is a unit that has contracts with hospitals
1.02532e+18,Quaint Studio | Close to Fenway,382451810,Healing Homes,Back Bay,42.34245642,-71.08205135,Entire home/apt,216.0,1,8,5/21/2024,1.27,74,344,8,Exempt: This listing is a unit that has contracts with hospitals
1.02537e+18,Beautiful Studio | Downtown | Near The T,212359760,Evonify,Downtown,42.35169088,-71.06329559,Entire home/apt,227.0,1,15,6/14/2024,2.68,62,312,15,Exempt: This listing is a unit that has contracts with hospitals
1.02538e+18,Lovely South End Studio,382451810,Healing Homes,Back Bay,42.34329199,-71.08394205,Entire home/apt,186.0,1,9,6/7/2024,1.5,74,358,9,Exempt: This listing is a unit that has contracts with hospitals
1.02538e+18,"Modern, Chic 2 BR Apartment",365116307,Healing Homes,Downtown,42.35691,-71.06234,Entire home/apt,462.0,1,35,6/3/2024,5.53,60,292,35,Exempt: This listing is a unit that has contracts with hospitals
1.02539e+18,Charming South End Studio Apt,382451810,Healing Homes,Back Bay,42.34362403,-71.08365588,Entire home/apt,206.0,1,14,5/31/2024,1.99,74,350,14,Exempt: This listing is a unit that has contracts with hospitals
1.0254e+18,Peaceful Studio Close to Fenway,382451810,Healing Homes,Fenway,42.34181808,-71.08377559,Entire home/apt,167.0,1,8,4/28/2024,1.25,74,352,8,Exempt: This listing is a unit that has contracts with hospitals
1.0254e+18,Large Victorian Back Bay 1BR,382451810,Healing Homes,Back Bay,42.34943,-71.08779,Entire home/apt,419.0,1,3,4/16/2024,0.44,74,0,3,Exempt: This listing is a unit that has contracts with hospitals
1.0254e+18,Centrally Located Basic Studio,382451810,Healing Homes,Back Bay,42.34354,-71.08395,Entire home/apt,204.0,1,27,5/28/2024,4.13,74,306,27,Exempt: This listing is a unit that has contracts with hospitals
1.02541e+18,Wonderful South End Studio,382451810,Healing Homes,Back Bay,42.34380982,-71.08242784,Entire home/apt,190.0,1,14,4/19/2024,2.21,74,332,14,Exempt: This listing is a unit that has contracts with hospitals
1.02542e+18,Spacious Studio! | Back Bay,382451810,Healing Homes,Back Bay,42.34356621,-71.08363189,Entire home/apt,235.0,1,12,5/27/2024,1.8,74,319,12,Exempt: This listing is a unit that has contracts with hospitals
1.02542e+18,"Airy, Pet-friendly, FiDi studio",382451810,Healing Homes,Downtown,42.35524926,-71.05802317,Entire home/apt,215.0,1,21,6/6/2024,2.99,74,328,21,STR-466828
1.02542e+18,Petit Garden Level Micro Studio,382451810,Healing Homes,Back Bay,42.34383068,-71.08398188,Entire home/apt,179.0,1,14,5/31/2024,4.52,74,318,14,Exempt: This listing is a unit that has contracts with hospitals
